pair	timestamp	bid	ask	last_trade	rolling_24_hour_volume	status
XRPZAR	1656213401674	5.88000000	5.89000000	5.90000000	2315028.00000000	ACTIVE
XRPZAR	1656215286795	5.87000000	5.88000000	5.87000000	2292577.00000000	ACTIVE
XRPZAR	1656217168647	5.88000000	5.89000000	5.89000000	2246588.00000000	ACTIVE
XRPZAR	1656219053032	5.91000000	5.92000000	5.92000000	2208934.00000000	ACTIVE
XRPZAR	1656220936318	5.91000000	5.92000000	5.91000000	2202565.00000000	ACTIVE
XRPZAR	1656222818160	5.89000000	5.90000000	5.90000000	2268847.00000000	ACTIVE
XRPZAR	1656224702139	5.87000000	5.89000000	5.89000000	2238677.00000000	ACTIVE
XRPZAR	1656226586173	5.94000000	5.95000000	5.95000000	2210512.00000000	ACTIVE
XRPZAR	1656228473838	5.96000000	5.97000000	5.97000000	2201889.00000000	ACTIVE
XRPZAR	1656230358326	5.92000000	5.93000000	5.93000000	2162955.00000000	ACTIVE
XRPZAR	1656232242209	5.94000000	5.95000000	5.94000000	2120028.00000000	ACTIVE
XRPZAR	1656234127302	5.94000000	5.95000000	5.95000000	2100334.00000000	ACTIVE
XRPZAR	1656236013260	5.91000000	5.92000000	5.92000000	1990513.00000000	ACTIVE
XRPZAR	1656237900470	5.89000000	5.90000000	5.90000000	1970081.00000000	ACTIVE
XRPZAR	1656239785760	5.87000000	5.90000000	5.90000000	1891055.00000000	ACTIVE
XRPZAR	1656241670904	5.89000000	5.91000000	5.91000000	1846445.00000000	ACTIVE
XRPZAR	1656243558189	5.91000000	5.92000000	5.91000000	1838602.00000000	ACTIVE
XRPZAR	1656245444438	6.00000000	6.01000000	6.01000000	1911479.00000000	ACTIVE
XRPZAR	1656247333450	5.98000000	5.99000000	5.99000000	1726800.00000000	ACTIVE
XRPZAR	1656249221063	5.90000000	5.91000000	5.91000000	1655056.00000000	ACTIVE
XRPZAR	1656251107290	5.90000000	5.91000000	5.91000000	1548972.00000000	ACTIVE
XRPZAR	1656252995138	5.93000000	5.94000000	5.93000000	1492286.00000000	ACTIVE
XRPZAR	1656254884445	5.93000000	5.94000000	5.94000000	1455996.00000000	ACTIVE
XRPZAR	1656256775084	5.85000000	5.86000000	5.85000000	1486722.00000000	ACTIVE
XRPZAR	1656258663520	5.91000000	5.92000000	5.92000000	1470996.00000000	ACTIVE
XRPZAR	1656260553534	5.92000000	5.93000000	5.92000000	1324569.00000000	ACTIVE
XRPZAR	1656262442471	5.92000000	5.94000000	5.94000000	1319086.00000000	ACTIVE
XRPZAR	1656264333586	5.86000000	5.87000000	5.87000000	1325152.00000000	ACTIVE
XRPZAR	1656266223856	5.86000000	5.88000000	5.87000000	1341078.00000000	ACTIVE
XRPZAR	1656268115042	5.83000000	5.84000000	5.84000000	1367388.00000000	ACTIVE
XRPZAR	1656270007510	5.84000000	5.85000000	5.85000000	1357047.00000000	ACTIVE
XRPZAR	1656271900496	5.87000000	5.88000000	5.88000000	1332476.00000000	ACTIVE
XRPZAR	1656273792249	5.88000000	5.89000000	5.89000000	1300231.00000000	ACTIVE
XRPZAR	1656275683965	5.90000000	5.91000000	5.91000000	1305194.00000000	ACTIVE
XRPZAR	1656277578219	5.94000000	5.95000000	5.94000000	1242915.00000000	ACTIVE
XRPZAR	1656279471965	5.92000000	5.94000000	5.92000000	1165099.00000000	ACTIVE
XRPZAR	1656281363858	5.88000000	5.89000000	5.88000000	1158900.00000000	ACTIVE
XRPZAR	1656283257177	5.81000000	5.82000000	5.82000000	1165882.00000000	ACTIVE
XRPZAR	1656285151278	5.82000000	5.83000000	5.83000000	1207128.00000000	ACTIVE
XRPZAR	1656287046512	5.79000000	5.80000000	5.80000000	1227066.00000000	ACTIVE
XRPZAR	1656288938903	5.84000000	5.85000000	5.86000000	1241696.00000000	ACTIVE
XRPZAR	1656290833062	5.88000000	5.89000000	5.88000000	1252118.00000000	ACTIVE
XRPZAR	1656292727715	5.89000000	5.90000000	5.89000000	1258318.00000000	ACTIVE
XRPZAR	1656294628138	5.88000000	5.89000000	5.89000000	1251956.00000000	ACTIVE
XRPZAR	1656296522950	5.88000000	5.89000000	5.88000000	1220090.00000000	ACTIVE
XRPZAR	1656298418208	5.90000000	5.91000000	5.91000000	1220787.00000000	ACTIVE
XRPZAR	1656300315723	5.89000000	5.90000000	5.90000000	1216983.00000000	ACTIVE
